time union1 union2 union3
0, 90, -nan, -nan
0.375999, -43.1633, 81.4596, 25.8621
0.376999, -43.2735, 81.4116, 25.9217
0.377999, -43.3828, 81.3637, 25.9812
0.378999, -43.4911, 81.316, 26.0404
0.379999, -43.5986, 81.2685, 26.0994
0.380999, -43.7051, 81.2213, 26.1583
0.381999, -43.8108, 81.1742, 26.217
0.382999, -43.9155, 81.1273, 26.2755
0.383999, -44.0194, 81.0807, 26.3338
0.384999, -44.1224, 81.0342, 26.3918
0.385999, -44.2245, 80.9878, 26.4498
0.386999, -44.3258, 80.9417, 26.5075
0.387999, -44.4263, 80.8958, 26.5651
0.388999, -44.526, 80.85, 26.6224
0.389999, -44.6248, 80.8043, 26.6797
0.390999, -44.7228, 80.759, 26.7366
0.391998, -44.82, 80.7138, 26.7934
0.392998, -44.9165, 80.6687, 26.8501
0.393998, -45.0122, 80.624, 26.9065
0.394998, -45.1071, 80.5793, 26.9627
0.395998, -45.2012, 80.5348, 27.0188
0.396998, -45.2946, 80.4905, 27.0747
0.397998, -45.3872, 80.4463, 27.1304
0.398998, -45.4791, 80.4022, 27.1859
0.399998, -45.5703, 80.3585, 27.2412
0.400998, -45.6608, 80.3149, 27.2964
0.401998, -45.7506, 80.2715, 27.3514
0.402998, -45.8396, 80.2281, 27.4062
0.403998, -45.928, 80.1851, 27.4608
0.404998, -46.0157, 80.1421, 27.5153
0.405998, -46.1027, 80.0994, 27.5695
0.406998, -46.189, 80.0567, 27.6236
0.407998, -46.2747, 80.0143, 27.6775
0.408998, -46.3597, 79.972, 27.7313
0.409998, -46.4441, 79.93, 27.7848
0.410998, -46.5278, 79.888, 27.8382
0.411998, -46.6109, 79.8462, 27.8914
0.412998, -46.6934, 79.8046, 27.9444
0.413998, -46.7752, 79.7632, 27.9973
0.414998, -46.8565, 79.7218, 28.05
0.415998, -46.9371, 79.6807, 28.1025
0.416998, -47.0172, 79.6397, 28.1549
0.417998, -47.0966, 79.5989, 28.207
0.418998, -47.1754, 79.5582, 28.259
0.419998, -47.2537, 79.5177, 28.3109
0.420998, -47.3314, 79.4773, 28.3626
