time x y z
0, -nan, -nan, -nan
0.500997, 16.322, -10.6971, -1.90735e-06
0.501997, 16.322, -10.7149, 3.8147e-06
0.502997, 16.322, -10.7326, 3.33786e-06
0.503997, 16.322, -10.7503, -5.96046e-07
0.504997, 16.322, -10.7679, -5.96046e-07
0.505997, 16.322, -10.7854, 1.3113e-06
0.506997, 16.322, -10.8029, 3.57628e-07
0.507997, 16.322, -10.8203, 1.19209e-06
0.508997, 16.322, -10.8376, 3.09944e-06
0.509997, 16.322, -10.8549, 2.38419e-07
0.510997, 16.322, -10.8721, 2.14577e-06
0.511997, 16.322, -10.8893, 1.07288e-06
0.512997, 16.322, -10.9064, 1.19209e-07
0.513997, 16.322, -10.9234, -3.57628e-07
0.514997, 16.322, -10.9404, -3.57628e-07
0.515997, 16.322, -10.9573, -8.34465e-07
0.516997, 16.322, -10.9742, 2.86102e-06
0.517997, 16.322, -10.991, 1.43051e-06
0.518997, 16.322, -11.0077, 4.76837e-07
0.519997, 16.322, -11.0244, 2.86102e-06
0.520997, 16.322, -11.041, -4.76837e-07
0.521997, 16.322, -11.0576, 9.53674e-07
0.522997, 16.322, -11.0741, 1.43051e-06
0.523997, 16.322, -11.0906, -2.02656e-06
0.524997, 16.322, -11.107, 3.21865e-06
0.525997, 16.322, -11.1234, -1.07288e-06
0.526997, 16.322, -11.1396, 3.57628e-07
0.527997, 16.322, -11.1559, -1.19209e-07
0.528997, 16.322, -11.1721, 2.26498e-06
0.529997, 16.322, -11.1882, 3.57628e-07
0.530997, 16.322, -11.2043, 2.74181e-06
0.531997, 16.322, -11.2203, 2.26498e-06
0.532997, 16.322, -11.2363, 1.3113e-06
0.533997, 16.322, -11.2522, -2.38419e-07
0.534997, 16.322, -11.268, -1.19209e-06
0.535997, 16.322, -11.2838, -1.19209e-06
0.536997, 16.322, -11.2996, 1.66893e-06
0.537997, 16.322, -11.3153, -7.15256e-07
0.538997, 16.322, -11.331, 1.19209e-06
0.539997, 16.322, -11.3465, 3.09944e-06
0.540997, 16.322, -11.3621, 1.19209e-06
0.541997, 16.322, -11.3776, -7.15256e-07
0.542997, 16.322, -11.393, -7.15256e-07
0.543997, 16.322, -11.4084, -1.66893e-06
0.544997, 16.322, -11.4238, -4.05312e-06
0.545997, 16.322, -11.4391, -1.19209e-06
0.546997, 16.322, -11.4543, -1.19209e-06
0.547997, 16.322, -11.4695, -7.15256e-07
0.548997, 16.322, -11.4847, 2.14577e-06
0.549996, 16.322, -11.4998, -2.38419e-07
0.550996, 16.322, -11.5148, 7.15256e-07
0.551996, 16.322, -11.5298, 3.57628e-07
0.552996, 16.322, -11.5448, 1.78814e-06
0.553996, 16.322, -11.5597, -1.54972e-06
0.554996, 16.322, -11.5745, -1.54972e-06
0.555996, 16.322, -11.5893, -1.19209e-07
0.556996, 16.322, -11.6041, 2.26498e-06
0.557996, 16.322, -11.6188, -1.07288e-06
0.558996, 16.322, -11.6335, 2.26498e-06
0.559996, 16.322, -11.6481, -5.96046e-07
0.560996, 16.322, -11.6627, 8.34465e-07
0.561996, 16.322, -11.6772, -1.43051e-06
0.562996, 16.322, -11.6917, 9.53674e-07
0.563996, 16.322, -11.7062, 1.90735e-06
