time x y z
0, -nan, -nan, -nan
0.448998, -9.322, 13.6871, 1.93347
0.449998, -9.322, 13.698, 1.93318
0.450998, -9.322, 13.7088, 1.93289
0.451998, -9.322, 13.7196, 1.93259
0.452998, -9.322, 13.7303, 1.9323
0.453998, -9.322, 13.7409, 1.932
0.454998, -9.322, 13.7516, 1.9317
0.455998, -9.322, 13.7622, 1.93141
0.456998, -9.322, 13.7727, 1.93111
0.457998, -9.322, 13.7832, 1.93081
0.458998, -9.322, 13.7937, 1.93051
0.459998, -9.322, 13.8041, 1.93021
0.460998, -9.322, 13.8145, 1.92991
0.461998, -9.322, 13.8248, 1.92961
0.462998, -9.322, 13.8351, 1.92931
0.463998, -9.322, 13.8454, 1.929
0.464998, -9.322, 13.8556, 1.9287
0.465998, -9.322, 13.8658, 1.9284
0.466998, -9.322, 13.8759, 1.92809
0.467998, -9.322, 13.886, 1.92779
0.468998, -9.322, 13.896, 1.92748
0.469997, -9.322, 13.9061, 1.92718
0.470997, -9.322, 13.9161, 1.92687
0.471997, -9.322, 13.926, 1.92656
0.472997, -9.322, 13.9359, 1.92625
0.473997, -9.322, 13.9458, 1.92595
0.474997, -9.322, 13.9556, 1.92564
0.475997, -9.322, 13.9654, 1.92533
0.476997, -9.322, 13.9751, 1.92502
0.477997, -9.322, 13.9848, 1.9247
0.478997, -9.322, 13.9945, 1.92439
0.479997, -9.322, 14.0042, 1.92408
0.480997, -9.322, 14.0138, 1.92377
0.481997, -9.322, 14.0233, 1.92345
0.482997, -9.322, 14.0329, 1.92314
0.483997, -9.322, 14.0424, 1.92282
0.484997, -9.322, 14.0518, 1.92251
0.485997, -9.322, 14.0613, 1.92219
0.486997, -9.322, 14.0707, 1.92188
0.487997, -9.322, 14.08, 1.92156
0.488997, -9.322, 14.0893, 1.92124
0.489997, -9.322, 14.0986, 1.92092
0.490997, -9.322, 14.1079, 1.9206
0.491997, -9.322, 14.1171, 1.92028
0.492997, -9.322, 14.1263, 1.91996
0.493997, -9.322, 14.1354, 1.91964
0.494997, -9.322, 14.1446, 1.91932
0.495997, -9.322, 14.1536, 1.919
0.496997, -9.322, 14.1627, 1.91868
0.497997, -9.322, 14.1717, 1.91835
0.498997, -9.322, 14.1807, 1.91803
0.499997, -9.322, 14.1896, 1.9177
0.500997, -9.322, 14.1986, 1.91738
0.501997, -9.322, 14.2075, 1.91705
0.502997, -9.322, 14.2163, 1.91673
0.503997, -9.322, 14.2251, 1.9164
0.504997, -9.322, 14.2339, 1.91607
0.505997, -9.322, 14.2427, 1.91574
0.506997, -9.322, 14.2514, 1.91541
0.507997, -9.322, 14.2601, 1.91508
0.508997, -9.322, 14.2688, 1.91475
0.509997, -9.322, 14.2775, 1.91442
0.510997, -9.322, 14.2861, 1.91409
0.511997, -9.322, 14.2946, 1.91376
0.512997, -9.322, 14.3032, 1.91343
0.513997, -9.322, 14.3117, 1.91309
0.514997, -9.322, 14.3202, 1.91276
0.515997, -9.322, 14.3287, 1.91242
0.516997, -9.322, 14.3371, 1.91209
0.517997, -9.322, 14.3455, 1.91175
0.518997, -9.322, 14.3539, 1.91142
0.519997, -9.322, 14.3622, 1.91108
0.520997, -9.322, 14.3705, 1.91074
0.521997, -9.322, 14.3788, 1.9104
0.522997, -9.322, 14.3871, 1.91006
0.523997, -9.322, 14.3953, 1.90972
0.524997, -9.322, 14.4035, 1.90938
0.525997, -9.322, 14.4117, 1.90904
0.526997, -9.322, 14.4198, 1.9087
0.527997, -9.322, 14.4279, 1.90836
0.528997, -9.322, 14.436, 1.90802
0.529997, -9.322, 14.4441, 1.90767
0.530997, -9.322, 14.4521, 1.90733
0.531997, -9.322, 14.4601, 1.90699
0.532997, -9.322, 14.4681, 1.90664
0.533997, -9.322, 14.4761, 1.9063
0.534997, -9.322, 14.484, 1.90595
0.535997, -9.322, 14.4919, 1.9056
0.536997, -9.322, 14.4998, 1.90525
0.537997, -9.322, 14.5077, 1.90491
0.538997, -9.322, 14.5155, 1.90456
0.539997, -9.322, 14.5233, 1.90421
0.540997, -9.322, 14.531, 1.90386
0.541997, -9.322, 14.5388, 1.90351
0.542997, -9.322, 14.5465, 1.90316
0.543997, -9.322, 14.5542, 1.90281
0.544997, -9.322, 14.5619, 1.90245
0.545997, -9.322, 14.5695, 1.9021
0.546997, -9.322, 14.5772, 1.90175
0.547997, -9.322, 14.5848, 1.90139
0.548997, -9.322, 14.5923, 1.90104
0.549996, -9.322, 14.5999, 1.90068
0.550996, -9.322, 14.6074, 1.90033
0.551996, -9.322, 14.6149, 1.89997
